team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
ATL,Jalen Johnson,F,59,59,35.2,22.9,1.4,8.9,10.4,8.0,1.3,0.5,3.3,2.2,2.4
ATL,Nickeil Alexander-Walker,G,63,56,33.2,20.0,0.6,2.9,3.4,3.7,1.2,0.5,2.2,2.2,1.7
WAS,Trae Young,N/A,3,3,19.3,14.7,0.7,2.3,3.0,6.7,0.7,0.0,3.0,2.3,2.2
ATL,CJ McCollum,N/A,26,10,28.5,18.2,1.0,2.4,3.4,3.7,0.8,0.5,2.0,1.5,1.9
GS,Kristaps Porzingis,N/A,3,0,20.0,12.7,0.7,2.7,3.3,2.7,0.0,2.0,1.3,2.0,2.0
ATL,Jonathan Kuminga,N/A,4,1,24.8,16.5,2.3,5.8,8.0,3.0,1.3,0.3,2.5,1.0,1.2
ATL,Onyeka Okongwu,F,60,49,31.4,16.0,1.9,6.0,7.9,3.2,1.2,1.1,1.8,3.4,1.8
ATL,Dyson Daniels,G,62,62,33.4,11.5,2.2,4.4,6.6,6.2,1.9,0.4,1.8,2.1,3.4
ATL,Zaccharie Risacher,F,52,45,24.1,10.2,1.1,2.8,3.8,1.3,0.9,0.6,0.9,2.2,1.4
WAS,Corey Kispert,N/A,19,2,19.5,9.2,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,2.3
ATL,Jock Landale,N/A,14,1,18.8,9.3,2.0,2.1,4.1,1.4,0.4,0.6,0.6,1.9,2.4
POR,Vit Krejci,N/A,16,0,20.7,7.7,0.6,2.4,2.9,1.7,0.6,0.3,0.5,1.7,3.4
LAL,Luke Kennard,N/A,16,1,22.8,9.9,0.3,2.1,2.4,1.9,0.6,0.2,0.9,1.8,2.1
ATL,Asa Newell,F,40,1,11.1,5.0,0.9,1.1,2.0,0.5,0.4,0.3,0.5,1.6,1.0
ATL,Mouhamed Gueye,F,63,5,15.4,4.7,1.3,2.4,3.7,0.9,0.8,0.5,0.5,1.7,1.8
ATL,Gabe Vincent,N/A,9,0,13.1,4.2,0.6,0.6,1.1,1.9,0.6,0.1,0.3,1.3,5.7
ATL,Keaton Wallace,G,45,2,10.5,3.6,0.1,1.0,1.1,1.8,0.5,0.1,0.5,0.9,3.6
LAL,Christian Koloko,N/A,2,0,3.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
ATL,Caleb Houstan,G,12,0,4.5,1.9,0.3,0.2,0.5,0.2,0.1,0.1,0.3,0.7,0.5
ATL,Jacob Toppin,F,5,0,3.4,1.6,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,INF
ATL,N'Faly Dante,C,4,0,3.8,0.8,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.0
ATL,Buddy Hield,N/A,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATL,RayJ Dennis,N/A,1,0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,INF
BOS,Jaylen Brown,G,59,59,34.1,28.4,1.1,6.0,7.1,5.2,1.0,0.4,3.6,2.7,1.4
BOS,Jayson Tatum,F,3,3,27.0,19.7,0.7,6.0,6.7,3.7,1.0,0.0,1.3,1.3,2.8
BOS,Derrick White,G,63,63,34.3,17.5,1.1,3.3,4.4,5.7,1.2,1.4,1.7,1.5,3.3
BOS,Payton Pritchard,G,64,49,32.6,16.8,0.9,3.2,4.1,5.3,0.8,0.1,1.3,1.4,4.0
CHI,Anfernee Simons,N/A,6,5,28.3,15.2,0.8,2.0,2.8,3.0,0.0,0.3,2.2,2.0,1.4
BOS,Nikola Vucevic,N/A,12,1,21.7,10.4,1.7,5.5,7.2,1.8,0.4,0.8,0.9,1.8,2.0
BOS,Neemias Queta,C,62,61,24.9,9.8,2.9,5.4,8.4,1.4,0.8,1.3,1.1,2.8,1.3
BOS,Sam Hauser,F,63,35,24.7,9.3,0.7,3.2,3.9,1.5,0.6,0.3,0.5,1.4,3.0
BOS,Luka Garza,C,56,4,15.7,7.2,2.2,1.6,3.9,0.9,0.4,0.4,0.6,2.3,1.5
BKN,Josh Minott,N/A,7,0,14.3,6.7,0.6,1.3,1.9,0.6,1.0,0.6,1.3,0.3,0.4
BOS,Jordan Walsh,G,58,20,17.2,5.3,1.3,2.8,4.1,0.7,0.7,0.4,0.6,2.1,1.3
BOS,Baylor Scheierman,G,61,17,17.0,4.9,0.6,2.7,3.3,1.3,0.5,0.1,0.6,1.3,2.3
BOS,Hugo Gonzalez,G,61,3,15.6,4.2,0.9,2.6,3.6,0.6,0.6,0.3,0.6,1.7,1.1
BOS,Ron Harper Jr.,G,20,2,11.9,4.1,0.7,1.1,1.8,0.8,0.2,0.4,0.2,0.9,3.8
BOS,Chris Boucher,F,9,0,10.4,2.3,0.2,1.8,2.0,0.3,0.6,0.8,0.1,1.9,3.0
CHA,Xavier Tillman,N/A,8,0,4.0,0.5,0.8,0.5,1.3,0.4,0.0,0.1,0.1,0.4,3.0
LAC,Dalano Banton,N/A,2,0,5.0,3.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5,0.0,2.0
BOS,Amari Williams,F,18,2,6.6,1.2,0.4,1.3,1.7,0.4,0.1,0.5,0.4,0.8,1.1
BOS,John Tonje,G,3,0,3.7,0.7,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,INF
BOS,Max Shulga,G,3,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
BKN,Michael Porter Jr.,F,52,52,32.5,24.2,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,1.3
MIL,Cam Thomas,N/A,15,0,17.1,11.4,0.1,1.5,1.7,1.9,0.2,0.1,1.2,0.7,1.6
BKN,Noah Clowney,F,60,54,27.8,12.8,0.9,3.3,4.2,1.7,0.8,0.7,1.6,2.6,1.1
BKN,Nic Claxton,C,60,59,28.7,12.0,2.5,4.6,7.1,3.9,0.7,1.2,1.4,2.3,2.8
BKN,Egor Demin,G,52,45,25.2,10.3,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,2.0
BKN,Ziaire Williams,F,46,5,23.0,9.7,0.6,1.9,2.5,1.0,1.2,0.4,1.0,2.0,1.0
BKN,Danny Wolf,F,52,10,20.7,8.9,1.0,3.8,4.8,2.3,0.5,0.6,1.2,2.2,1.8
BKN,Day'Ron Sharpe,C,62,7,18.7,8.7,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,1.4
BKN,Nolan Traore,G,43,20,22.2,8.3,0.3,1.3,1.6,3.7,0.7,0.3,2.0,2.1,1.8
BKN,Terance Mann,G,56,46,24.6,7.5,1.1,2.0,3.2,3.2,0.6,0.3,1.1,2.4,2.9
PHI,Tyrese Martin,N/A,6,0,11.7,3.0,0.3,0.8,1.2,1.5,0.5,0.3,1.2,0.5,1.3
BKN,Ochai Agbaji,N/A,11,0,15.1,6.4,0.6,1.5,2.2,1.0,0.4,0.5,0.7,0.7,1.4
BKN,Drake Powell,G,50,12,19.5,6.2,0.3,1.4,1.7,1.5,0.5,0.2,1.0,1.4,1.5
BKN,Ben Saraf,G,30,6,17.7,5.3,0.3,1.2,1.5,3.0,0.7,0.2,2.0,1.5,1.5
BKN,Jalen Wilson,F,44,0,14.0,5.2,0.2,1.4,1.6,0.6,0.4,0.0,0.5,1.3,1.1
BKN,Grant Nelson,F,4,0,8.8,4.3,0.3,1.3,1.5,1.3,0.3,1.3,1.0,1.5,1.3
BKN,Chaney Johnson,F,3,0,15.7,4.0,0.3,1.3,1.7,1.3,0.7,0.3,1.0,2.7,1.3
BKN,Tyson Etienne,G,11,0,6.4,2.5,0.1,0.2,0.3,0.6,0.0,0.0,0.4,1.4,1.8
BKN,E.J. Liddell,F,13,0,6.1,2.2,0.2,1.3,1.5,0.2,0.1,0.2,0.4,0.5,0.6
CHA,Brandon Miller,F,50,50,30.2,20.7,1.1,4.0,5.1,3.4,1.1,0.8,2.9,2.8,1.2
CHA,LaMelo Ball,G,57,54,27.7,19.4,0.9,4.0,4.8,7.2,1.1,0.2,2.8,2.6,2.6
CHA,Kon Knueppel,G,66,65,32.0,19.2,1.2,4.1,5.3,3.4,0.7,0.2,2.1,2.2,1.7
CHA,Miles Bridges,F,62,62,31.8,17.5,1.0,4.9,5.9,3.4,0.6,0.5,1.5,1.7,2.3
CHI,Collin Sexton,N/A,12,3,25.1,16.2,0.6,1.6,2.2,2.1,1.3,0.1,2.3,2.3,0.9
CHA,Coby White,N/A,7,0,18.6,11.9,0.1,2.1,2.3,3.6,0.4,0.1,1.7,1.7,2.1
CHA,Moussa Diabate,F,59,33,25.9,8.1,3.8,4.9,8.7,1.8,0.7,1.0,0.9,2.4,2.0
CHA,Ryan Kalkbrenner,C,54,30,22.2,8.0,2.6,3.3,5.9,0.8,0.5,1.5,0.9,1.6,0.9
CHA,Grant Williams,F,23,3,19.5,7.5,1.3,2.7,4.0,1.9,0.5,0.3,0.9,1.6,2.2
CHA,Tre Mann,G,43,1,14.5,6.2,0.5,1.6,2.1,1.9,0.5,0.1,1.2,1.5,1.6
CHA,Tidjane Salaun,F,36,0,15.9,6.2,0.7,3.4,4.1,0.8,0.4,0.2,0.7,1.5,1.1
MEM,PJ Hall,N/A,7,0,3.9,1.9,0.4,0.9,1.3,0.3,0.0,0.3,0.1,0.4,2.0
DEN,KJ Simpson,N/A,3,0,7.7,1.7,1.0,0.7,1.7,2.7,0.3,0.0,0.0,0.3,INF
CHA,Sion James,G,67,19,23.2,5.5,0.6,2.9,3.5,2.0,0.6,0.3,0.9,1.8,2.3
CHA,Josh Green,G,43,0,16.6,4.9,0.9,1.1,2.0,1.0,0.6,0.1,0.6,1.2,1.6
CHA,Liam McNeeley,G,28,0,12.2,4.1,0.4,1.8,2.1,0.8,0.2,0.1,0.4,1.3,1.9
CHA,Pat Connaughton,G,32,0,7.8,3.0,0.4,1.2,1.6,0.5,0.3,0.0,0.3,0.3,1.9
CHA,Antonio Reeves,G,9,0,7.3,3.0,0.2,0.7,0.9,0.2,0.1,0.0,0.1,0.3,2.0
SA,Mason Plumlee,N/A,2,0,4.0,0.0,0.5,1.0,1.5,0.5,1.0,0.0,0.0,0.5,INF
CHA,Drew Peterson,F,6,0,10.7,0.8,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,INF
CHI,Josh Giddey,G,44,41,31.8,17.9,1.3,7.1,8.4,8.8,1.0,0.4,3.7,1.6,2.4
CHI,Matas Buzelis,F,65,65,28.8,15.9,1.0,4.5,5.5,2.1,0.7,1.5,2.0,2.4,1.1
MIN,Ayo Dosunmu,N/A,12,0,25.3,11.0,0.3,1.7,1.9,2.5,0.9,0.2,0.9,2.2,2.7
CHI,Tre Jones,G,49,25,26.9,12.7,0.6,2.3,2.9,5.5,1.2,0.2,1.3,1.4,4.3
CHI,Jaden Ivey,N/A,4,3,28.8,11.5,1.3,3.5,4.8,4.0,2.0,0.5,1.5,2.3,2.7
DET,Kevin Huerter,N/A,10,0,15.7,5.5,0.6,1.7,2.3,1.8,0.7,0.5,0.3,1.1,6.0
CHI,Jalen Smith,F,49,17,20.8,10.3,1.9,5.0,6.9,1.3,0.5,0.8,0.9,2.1,1.3
CHI,Guerschon Yabusele,N/A,14,12,25.8,10.2,1.3,5.0,6.3,2.2,0.9,0.4,1.1,1.8,1.9
CHI,Nick Richards,N/A,14,0,23.1,9.9,2.2,5.7,7.9,0.4,0.4,1.0,2.0,2.6,0.2
CHI,Zach Collins,F,10,0,18.4,9.7,1.6,4.0,5.6,1.5,0.2,0.4,1.0,1.8,1.5
CHI,Isaac Okoro,F,55,55,26.9,9.0,1.1,1.6,2.7,1.6,0.7,0.4,0.7,2.5,2.1
CHI,Leonard Miller,N/A,11,3,16.5,7.6,1.0,3.1,4.1,0.8,0.4,0.5,0.6,1.3,1.3
CHI,Patrick Williams,F,56,4,19.5,7.0,0.7,2.2,2.9,1.4,0.6,0.3,1.0,1.3,1.4
CHI,Rob Dillingham,N/A,14,0,19.7,6.8,0.6,2.6,3.1,3.4,1.0,0.0,1.7,2.4,2.0
ORL,Jevon Carter,N/A,13,0,21.7,6.8,0.2,1.9,2.2,2.8,0.7,0.5,0.8,1.4,3.3
CHI,Mac McClung,N/A,1,0,13.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0
PHI,Dalen Terry,N/A,7,0,13.6,4.4,0.3,1.6,1.9,2.0,0.6,0.4,0.4,1.0,4.7
CHI,Emanuel Miller,F,5,0,6.6,3.0,0.2,0.4,0.6,0.8,0.4,0.0,0.0,0.4,INF
CHI,Yuki Kawamura,G,8,0,12.3,2.9,0.6,1.8,2.4,3.5,0.8,0.0,0.8,0.8,4.7
MIN,Julian Phillips,N/A,7,0,4.3,2.4,0.0,0.3,0.3,0.1,0.6,0.1,0.1,0.1,1.0
CHI,Trentyn Flowers,F,2,0,3.0,2.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
CHI,Lachlan Olbrich,C,23,0,6.7,1.4,0.7,1.3,2.0,0.7,0.2,0.1,0.3,1.1,2.4
CHI,Noa Essengue,F,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
CLE,Donovan Mitchell,G,58,58,33.5,28.3,0.8,3.8,4.5,5.8,1.6,0.3,3.0,2.3,1.9
CLE,James Harden,N/A,12,12,33.4,20.2,0.8,4.3,5.0,7.8,0.5,0.5,3.3,2.0,2.4
LAC,Darius Garland,N/A,5,3,25.4,17.8,0.4,2.0,2.4,5.8,1.0,0.0,3.0,1.6,1.9
CLE,Evan Mobley,C,51,49,32.5,17.7,2.3,6.5,8.7,3.7,0.8,1.9,1.9,2.5,1.9
CLE,Jarrett Allen,C,51,51,27.5,15.3,2.6,5.9,8.5,1.9,1.0,0.9,1.4,1.8,1.4
SAC,De'Andre Hunter,N/A,2,2,25.5,7.5,0.5,1.0,1.5,0.5,0.0,0.0,2.0,2.5,0.3
CLE,Jaylon Tyson,G,61,39,27.4,13.3,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.6,1.5
CLE,Sam Merrill,G,42,30,25.9,12.7,0.6,1.7,2.4,2.3,0.6,0.1,0.9,2.5,2.7
CLE,Dennis Schroder,N/A,15,2,23.3,9.0,0.1,1.9,2.1,4.2,1.0,0.3,1.8,1.4,2.3
CLE,Keon Ellis,N/A,14,0,23.8,7.7,0.6,2.3,2.9,1.6,1.6,1.2,0.6,2.3,2.8
CLE,Nae'Qwan Tomlin,F,51,2,15.8,5.9,1.3,1.5,2.9,0.8,0.7,0.6,0.4,2.0,2.1
CLE,Dean Wade,F,51,30,22.5,5.8,0.9,3.4,4.3,1.5,0.8,0.4,0.3,1.6,5.2
CLE,Thomas Bryant,C,48,0,11.0,5.6,0.9,2.1,3.0,0.6,0.3,0.4,0.4,1.2,1.5
CLE,Tyrese Proctor,G,42,1,10.4,4.8,0.1,0.9,1.0,1.3,0.4,0.0,0.6,1.1,2.0
CLE,Lonzo Ball,G,35,3,20.8,4.6,0.7,3.3,4.0,3.9,1.3,0.3,1.5,1.3,2.6
CLE,Craig Porter Jr.,G,57,2,17.7,4.4,1.3,2.0,3.3,3.3,0.9,0.6,0.9,1.1,3.4
CLE,Larry Nance Jr.,F,28,2,12.4,3.2,0.8,1.7,2.5,0.9,0.5,0.1,0.5,1.7,2.0
CLE,Chris Livingston,F,3,0,5.7,3.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,1.3,INF
CLE,Luke Travers,F,12,0,8.6,2.3,0.8,1.3,2.0,0.8,0.6,0.3,0.3,0.5,3.0
CLE,Tristan Enaruna,F,5,0,5.4,2.2,1.0,0.6,1.6,0.6,0.0,0.0,0.2,0.0,3.0
CLE,Darius Brown,G,1,0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,Riley Minix,N/A,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DAL,Anthony Davis,F,20,20,31.3,20.4,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,1.4
DAL,Cooper Flagg,F,54,54,33.7,19.9,1.2,5.4,6.7,4.3,1.1,0.9,2.2,2.1,1.9
DAL,Naji Marshall,F,63,36,29.4,14.9,0.9,3.9,4.7,3.1,1.0,0.1,1.6,1.9,2.0
DAL,P.J. Washington,F,48,45,30.8,13.8,1.4,5.5,6.9,1.9,0.9,1.2,1.8,2.1,1.0
DAL,Khris Middleton,N/A,14,10,24.7,13.8,1.1,2.6,3.7,2.9,0.6,0.0,1.9,2.1,1.5
DAL,Brandon Williams,G,57,15,22.3,13.1,0.5,2.5,3.0,3.8,0.9,0.3,1.9,1.5,2.0
DAL,Max Christie,G,61,52,29.5,12.7,0.2,3.2,3.4,2.1,0.6,0.3,1.3,1.4,1.6
DAL,Klay Thompson,G,58,8,22.0,11.9,0.3,2.0,2.3,1.4,0.5,0.3,1.0,1.0,1.4
DAL,Marvin Bagley IIIF,N/A,10,1,22.7,11.0,2.8,5.6,8.4,1.4,0.3,0.9,0.7,1.9,2.0
DAL,D'Angelo Russell,G,26,3,19.0,10.2,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,2.1
DAL,Daniel Gafford,F,48,38,21.7,9.0,2.4,4.5,6.8,1.0,0.8,1.3,1.3,2.6,0.8
WAS,Jaden Hardy,N/A,10,0,19.7,12.8,0.2,1.8,2.0,0.8,0.2,0.2,1.6,2.0,0.5
DAL,Ryan Nembhard,G,45,17,17.9,6.2,0.2,1.6,1.8,4.6,0.3,0.0,1.4,1.3,3.2
DAL,Jeremiah Robinson-Earl,N/A,5,0,12.2,4.4,0.8,2.2,3.0,0.6,0.4,0.0,0.4,0.6,1.5
DAL,Dereck Lively IIC,N/A,7,4,16.4,4.3,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,1.3
DAL,Caleb Martin,F,56,12,14.9,3.9,0.5,2.0,2.5,1.4,0.7,0.3,0.7,1.5,2.1
DEN,Tyus Jones,N/A,4,0,7.0,1.3,0.0,0.5,0.5,0.8,0.0,0.0,0.8,0.0,1.0
DAL,Moussa Cisse,C,34,1,12.5,3.7,2.0,2.9,4.9,0.2,0.4,1.1,0.7,1.8,0.3
DAL,Dwight Powell,F,49,8,13.8,3.1,1.4,2.3,3.7,0.9,0.5,0.3,0.6,1.9,1.5
DAL,Miles Kelly,G,14,0,9.6,3.1,0.4,1.4,1.7,0.9,0.3,0.1,0.4,0.9,2.0
DAL,AJ Johnson,N/A,12,0,9.3,2.8,0.1,0.9,1.0,0.8,0.1,0.0,0.4,0.3,2.0
DAL,John Poulakidas,G,1,0,14.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0
DEN,Nikola Jokic,C,51,51,34.7,28.7,3.0,9.6,12.7,10.4,1.4,0.8,3.8,2.7,2.8
DEN,Jamal Murray,G,62,62,35.0,25.7,0.4,3.9,4.3,7.1,0.9,0.4,2.3,1.6,3.0
DEN,Aaron Gordon,F,26,23,27.5,16.6,1.4,4.7,6.1,2.5,0.7,0.2,1.0,1.5,2.6
DEN,Peyton Watson,G,49,39,30.7,14.9,0.9,4.0,4.9,2.0,1.0,1.2,1.8,2.5,1.1
DEN,Tim Hardaway Jr.,G,66,5,27.2,13.8,0.2,2.4,2.6,1.3,0.5,0.1,0.6,1.3,2.3
DEN,Cameron Johnson,F,41,41,30.2,11.3,0.8,3.0,3.7,2.3,0.6,0.4,0.9,2.3,2.7
DEN,Christian Braun,G,31,31,31.8,10.8,1.6,3.4,5.0,2.9,0.6,0.3,1.2,2.3,2.5
DEN,Jonas Valanciunas,C,55,5,13.5,8.5,1.5,3.4,4.9,1.2,0.3,0.5,1.1,2.1,1.1
DEN,Bruce Brown,G,67,2,24.9,7.5,1.1,2.7,3.9,2.1,1.1,0.2,1.1,2.4,1.9
DEN,Julian Strawther,G,44,12,15.3,7.0,0.2,1.8,2.0,1.0,0.5,0.1,0.6,1.3,1.6
DEN,Spencer Jones,F,55,35,22.7,5.8,1.2,2.1,3.2,0.8,0.9,0.5,0.5,2.7,1.7
DEN,Jalen Pickett,G,43,18,16.9,5.3,0.4,2.0,2.5,2.4,0.3,0.1,0.7,0.9,3.6
DEN,DaRon Holmes IIF,N/A,19,6,10.2,4.4,0.3,1.2,1.5,0.8,0.0,0.2,0.4,0.9,2.0
DEN,Zeke Nnaji,F,46,3,12.3,3.8,0.7,2.0,2.7,0.5,0.3,0.5,0.5,1.3,1.0
DEN,Hunter Tyson,F,21,2,7.7,2.2,0.2,1.5,1.7,0.8,0.1,0.0,0.2,0.6,3.4
DEN,Curtis Jones,G,6,0,5.2,1.5,0.2,0.7,0.8,0.5,0.0,0.0,0.2,0.5,3.0
DEN,David Roddy,F,2,0,6.0,1.0,0.5,1.5,2.0,1.0,0.5,0.0,0.0,1.0,INF
DET,Cade Cunningham,G,58,58,34.9,24.8,0.9,4.8,5.6,10.0,1.4,0.9,3.8,3.2,2.7
DET,Jalen Duren,C,55,55,27.6,18.5,3.8,6.8,10.5,1.7,0.9,0.9,1.7,2.8,1.0
DET,Tobias Harris,F,49,49,28.2,13.1,0.9,4.3,5.1,2.2,0.9,0.3,1.0,1.7,2.1
DET,Duncan Robinson,F,63,63,27.7,12.0,0.4,2.2,2.6,2.0,0.6,0.3,0.7,2.2,2.9
DET,Ausar Thompson,G,57,56,25.6,10.2,2.1,3.8,5.9,2.9,1.9,0.9,1.4,2.7,2.0
DET,Isaiah Stewart,F,54,13,23.2,10.0,1.6,3.5,5.1,1.2,0.3,1.6,1.1,2.9,1.0
DET,Ronald Holland IIF,N/A,61,5,20.5,8.5,1.2,3.1,4.3,1.3,1.2,0.3,1.3,2.3,1.0
DET,Daniss Jenkins,G,56,8,17.2,7.6,0.6,1.3,1.8,3.0,0.9,0.2,1.3,1.4,2.3
DET,Caris LeVert,G,45,0,19.3,7.2,0.3,1.4,1.8,2.6,0.9,0.6,1.4,1.6,1.9
DET,Javonte Green,G,65,4,18.1,7.0,0.8,2.0,2.8,0.7,1.3,0.3,0.6,1.4,1.1
DET,Paul Reed,F,48,8,13.1,6.9,2.1,2.4,4.5,1.1,0.9,0.8,0.9,1.7,1.2
DET,Marcus Sasser,G,24,4,11.6,5.2,0.1,0.9,1.0,1.9,0.8,0.1,0.8,0.9,2.5
DET,Tolu Smith,F,7,0,12.6,4.7,1.9,2.9,4.7,0.9,0.3,0.7,0.7,2.0,1.2
DET,Chaz Lanier,G,24,0,8.0,2.7,0.3,0.5,0.8,0.6,0.2,0.0,0.1,0.5,7.0
DET,Colby Jones,G,1,0,7.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,INF
DET,Wendell Moore Jr.,F,5,0,10.8,2.0,0.2,1.0,1.2,0.6,0.4,0.4,0.2,0.2,3.0
DET,Isaac Jones,N/A,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,Bobi Klintman,F,11,0,6.3,1.8,0.5,1.2,1.6,0.5,0.3,0.0,0.5,1.0,1.0
GS,Stephen Curry,G,39,39,31.3,27.2,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,1.7
GS,Jimmy Butler IIIF,N/A,38,38,31.1,20.0,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,3.1
GS,De'Anthony Melton,G,35,11,22.5,13.0,0.7,2.3,3.1,2.3,1.6,0.4,1.7,2.3,1.4
GS,Brandin Podziemski,G,65,26,27.9,12.6,0.9,4.3,5.2,3.8,1.1,0.2,1.6,1.8,2.4
GS,Moses Moody,G,59,48,25.5,11.9,0.8,2.5,3.3,1.6,0.9,0.5,0.9,2.0,1.7
